Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
Brasserie des Nids;Bières;;;;;53370;;SAINT-PIERRE-DES-NIDS;;53246;48.39978;-0.09892;;07 62 43 53 33;;;houblonne.ton.bec@brasserie-des-nids.fr;brasserie-des-nids.fr;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.39978, -0.09892;Mayenne
Galerie Pèle Mêle;;;;;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.728568;0.571416;;;;;stephanelanglois1@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.728568, 0.571416;Sarthe
Nadej Art - Ateliers Artistiques Multi-Techniques;Peinture;;;;;44350;;GUERANDE;;44069;47.32835;-2.42856;;;07 81 55 06 20;;contact@nadejart.fr;https://www.nadejart.fr;;;;;Artisanat / Art;;;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chèques bancaires et postaux,Espèces;47.32835, -2.42856;Loire-Atlantique
Domaine de La Maretière;Vins;;;;7 La Maretière - TILLIERES;49230;;SEVREMOINE;;49301;47.1383089;-1.221023;;;06 12 59 80 35;;contact@domaine-les-maretieres.fr;;;;;;Viticulture;Haute valeur environnementale (HVE),Vigneron Indépendant;;oui;;;;;;"Muscadets communaux;Muscadet Sèvre-et-Maine";oui;oui;oui;;;;;;;;;Français;;"Proposition clientèle||ITIPDL049V50ADIE;Proposition clientèle||ACCAMPDL049V50AD4A;Proposition clientèle||FMAPDL049V50HNW8";oui;01/01/2025||31/12/2025||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||09:30||12:30||||||||||||;;;;oui;;Chèques bancaires et postaux,Espèces;47.1383089, -1.221023;Maine-et-Loire
FERME DU GRAND BRICOIN;Fromage et produit laitier;;;;Bricoin;72160;;THORIGNE-SUR-DUE;;72358;48.034546;0.48829;;06 71 48 81 79;;;;;;;Facebook||https://www.facebook.com/fermedugrandbricoin/;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;;;;;;;;oui;oui;oui;;;;;;;;;;;;oui;;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;48.034546, 0.48829;Sarthe
LES VERGERS DU PÈRE ERNEST - CIDRE;Produits cidricoles / Jus de fruit;;;;La Borde du Colombier;72390;;DOLLON;;72118;48.044626;0.587024;;;02 43 93 42 10;;;https://cidredesvergersdupereernest.jimdofree.com/;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;Français;;;;oui;;;;;;;;;;;;;;;;;;;;48.044626, 0.587024;Sarthe
PRODUITS CIDRICOLES - VERGER DE LA BOUTRUCHÈRE;Produits cidricoles / Jus de fruit;;;;la boutruchere;53240;;LA BACONNIERE;;53015;48.168314;-0.8925736;;06 89 07 21 57;02 43 02 74 74;;;http://pommeaudumaine.com/html/;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;;;;;;;;;;;;Alain TROHEL||02 43 02 74 74||;;;;;Chèques bancaires et postaux;48.168314, -0.8925736;Mayenne
ANJOU FLEURS;Cosmétique;;;;La Cour;53290;;SAINT-DENIS-D'ANJOU;;53210;47.776295;-0.467623;;;02 43 70 52 07;;contact@anjoufleurs.com;http://www.anjoufleurs.com/;;;Facebook||https://www.facebook.com/AnjouFleurs;;Agriculture / horticulture / Pêche;;;;;;;;Français;;;;;;;;;;;;;Français;;;non;;;;;;;;47.776295, -0.467623;Mayenne
FERME DE LA FORGE;Rillettes,Salaisons,Viande;;;;La Forge;72260;;MAROLLES-LES-BRAULTS;;72189;48.2516122;0.3034012;;;0243974134;;fermedelaforge@hotmail.fr;www.boucherie-traiteur-marolleslesbraults.fr;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;;;;;;;;;;oui;;;;;;;Cartes bancaires,Chèques bancaires et postaux;48.2516122, 0.3034012;Sarthe
Cor Van Den Ham - Jean-Marie Charrier et Nicolas Gasnot - Maraicher;Fruits / légumes;;;;Le Grillon;72110;;SAINT-CELERIN;;72271;48.107891;0.42162699;;06 38 16 62 73;02 43 29 44 03;;gaeclegrillon72@hotmail.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.107891, 0.42162699;Sarthe
Les Vergers de Souzay;Fruits / légumes,Produits cidricoles / Jus de fruit;;;;lieu-dit Souzay;49140;;CORZE;;49110;47.5384265;-0.355741;;06 07 84 86 79;02 41 76 19 34;;vergersdesauzay@idyle-telecom.com;https://vergersdesouzay.wixsite.com/website;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;oui;;;;;Anglais,Français;;;;oui;;;;;;;;;Français;;;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,||||||||10:00||12:00||14:00||17:00||10:00||12:00||14:00||17:00||10:00||12:00||14:00||17:00||10:00||12:00||14:00||17:00||10:00||12:00||14:00||17:00||||||||||||||||;;;;oui;;;47.5384265, -0.355741;Maine-et-Loire
DOMAINE SAINT PIERRE;Vins;;;;Saint Pierre;49290;;CHAUDEFONDS-SUR-LAYON;;49082;47.3230214;-0.731371;;;;;domaine.saint.pierre@wanadoo.fr;;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.3230214, -0.731371;Maine-et-Loire
Tommes et Compagnie;Fromage et produit laitier;;;;Sainte-Catherine;44430;;LA REMAUDIERE;;44141;47.23912;-1.24737;;;06 83 50 01 22;;commandes@tommesetcie.fr;https://tommesetcie.fr/;;;Instagram||https://www.instagram.com/tommesetcie/;;Agro-alimentaire;Agriculture Biologique (AB);;non;;;;;Anglais,Français;;oui;non;oui;;;non;non;oui;oui;non;non;Français;oui;;oui;;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.23912, -1.24737;Loire-Atlantique
LE PRESSOIR SAINT LAURENT;Bières,Vins;;;1 avenue Sortais;;44130;;BLAIN;;44015;47.4753716;-1.7627098;;;02 40 79 95 48;;;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.4753716, -1.7627098;Loire-Atlantique
Produits Sarmance;Cosmétique;;;1 Boulevard D’Alatri;;44190;;GETIGNE;;44063;47.0765181;-1.2391821;;;09 67 33 70 25;;contact@sarmance.com;http://www.sarmance.com/;;;Facebook||https://www.facebook.com/Sarmance-839328199460510/timeline/,Twitter||https://twitter.com/SarmanceLoire;;Activités scientifiques;;;;;;;;;;;;;;;;;;;;;Français,Anglais;;;;;;;;;;;47.0765181, -1.2391821;Loire-Atlantique
Domaine de la Girardrie;Vins;;;1 rue de la Fontaine de Cix;;49260;;LE PUY-NOTRE-DAME;;49253;47.116894;-0.241265;;;02 41 52 25 10;;domaine@girardrie.com;http://www.girardrie.com/fr/les-gites/contact-p25.html;;;Google+||https://maps.google.com/?cid=15186139493927653734;;Viticulture;;;;;;;;;"Cabernet d'Anjou;Coteaux de Saumur;Crémant de Loire;Saumur;Saumur Blanc;Saumur Brut;Saumur Puy Notre Dame;Saumur Rosé";;;oui;;;;;;;;;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.116894, -0.241265;Maine-et-Loire
LE P'TIT LOCAL;Bières,Biscuit,Café,Confiserie / chocolat,Confiture,Cosmétique,Epices / Condiment,Fromage et produit laitier,Fruits / légumes,Pain / Pâtisserie,Produits apicoles,Produits du terroir (boutique),Spiritueux,Viande,Vins,Volailles / Oeufs;;;1 Rue Saint Medard;;44680;;SAINT-MARS-DE-COUTAIS;;44178;47.1128838;-1.7337672;;06 98 75 36 05;02 28 02 78 28;;;https://lepetitlocal.business.site/?utm_source=gmb&utm_medium=referral;;;Facebook||https://www.facebook.com/lepetitlocal44;;Agro-alimentaire;;;;;;;;Français;;;;;;;;;;;;;;;"Partenariat||DEGPDL044V50QMKK;Partenariat||DEGPDL044V50X6BB;Partenariat||DEGPDL044V50XRJD;Partenariat||FMAPDL044V50S43T";oui;;;;;;;Cartes bancaires,Espèces;47.1128838, -1.7337672;Loire-Atlantique
Domaine du Clos de l'Abbaye;Vins;;;10 bis route de Montreuil-Bellay;;49260;;LE PUY-NOTRE-DAME;;49253;47.12622;-0.221173;;;02 41 52 26 71;;domaineaupy@gmail.com;http://www.aupy.com;;;Facebook||https://www.facebook.com/julien.aupy.73,Google+||https://maps.google.com/?cid=6052079589864838866;;Viticulture;;;;;;;;Français;"Anjou Villages;Saumur;Saumur Brut;Saumur Rouge";;;oui;60min;;;;;;;oui;;;;;02/01/2024||23/12/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.12622, -0.221173;Maine-et-Loire
Conserverie La Belle iloise;;;;112 Av. du Général de Gaulle;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28544;-2.39166;;;;;;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.28544, -2.39166;Loire-Atlantique
Les Volailles de Matthieu;;;;114 Kerhas;;44410;;MESQUER;;44097;47.36282;-2.38952;;;06 71 87 58 09;;matthieu.bro1@hotmail.fr;https://lesvolaillesdematthieu.panierlocal.org/;;;;;Agro-alimentaire;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.36282, -2.38952;Loire-Atlantique
GAEC RUCHER DU PAYS DE RETZ;Produits apicoles;;;12 Lieu-dit La Guilloterie;;44680;;SAINT-MARS-DE-COUTAIS;;44178;47.07593;-1.75568;;;;;;;;;;;Agro-alimentaire;;;;;;;;;;;;non;;;;;;;;;;;;oui;;;;;;;;47.07593, -1.75568;Loire-Atlantique
Le Fondant Baulois;Confiserie / chocolat;;;131 Avenue du Général de Gaulle;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28596;-2.39187;;;02 40 23 16 05;;infos@lefondantbaulois.com;http://www.lefondantbaulois.com;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.28596, -2.39187;Loire-Atlantique
DISTILOIRE;Spiritueux;;;1324 Rue de Saint-Mars;;44240;;SUCÉ-SUR-ERDRE;;44201;47.337078;-1.507704;;06 32 95 33 58;;;contact@distiloire.com;distiloire.com;;;Facebook||https://www.facebook.com/distiloire,Instagram||https://www.instagram.com/distiloire/;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;Anglais,Français;;oui;oui;oui;;1h30;oui;oui;non;non;non;non;Français;non;;;;;;;oui;;Cartes bancaires,Espèces;47.337078, -1.507704;Loire-Atlantique
Une souris verte;Bijou;;;14 rue de Saillé;Intra Muros;44350;;GUERANDE;;44069;47.32703;-2.42946;;;;;;;;;;;Artisanat / Art;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32703, -2.42946;Loire-Atlantique
Laiterie Mézerac;Fromage et produit laitier,Produits du terroir (boutique);;;148 Mézerac;;44410;;SAINT-LYPHARD;;44175;47.39427;-2.34536;;;02 40 91 49 80;;contact@ferme-mezerac.fr;http://www.ferme-mezerac.fr;;;;;Agro-alimentaire;;;oui;;;;;;;;;;;;;;;;oui;;;;;;01/01/2025||31/12/2025||||||14:30||18:30||||||14:30||18:30||||||14:30||18:30||||||14:30||18:30||||||14:30||18:30||||||10:00||12:00||||||||||||;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.39427, -2.34536;Loire-Atlantique
La Perle des dieux;Produits du terroir (boutique);;;15 rue de l'église;;44510;;LE POULIGUEN;;44135;47.27663;-2.42914;;;02 40 66 57 88;;;https://www.laperledesdieux.com/;;;;;Agriculture / horticulture / Pêche;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.27663, -2.42914;Loire-Atlantique
Galerie Art et Créations;;;;15 rue de la Juiverie;;44350;;GUERANDE;;44069;47.32716;-2.42837;;06 62 30 38 52;02 40 66 13 82;;sandrine@dekerhuel.com;http://www.dekerhuel.com;;;;;Artisanat / Art;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32716, -2.42837;Loire-Atlantique
Le Grain de Sel;Bières,Biscuit,Brioche et viennoiserie,Pain / Pâtisserie,Produits du terroir (boutique),Sel;;;16 rue Saint Michel;Intra-Muros;44350;;GUERANDE;;44069;47.32747;-2.42843;;;02 40 24 93 69;;graindeselguerande@gmail.com;https://www.facebook.com/GraindeSelGuerande/?locale=fr_FR;;;;;Activités de la mer;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32747, -2.42843;Loire-Atlantique
Galeries Les Astéries;;;;17 rue de casse caillou;;44740;;BATZ-SUR-MER;;44010;47.27746;-2.49202;;;06.33.37.76.03;;;;;;;;Artisanat / Art;;;oui;;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;47.27746, -2.49202;Loire-Atlantique
CHOCOLATERIE-PÂTISSERIE CARLI;Confiserie / chocolat,Pain / Pâtisserie;;;18 place Jean Guihard;;44130;;BLAIN;;44015;47.4757961;-1.7641739;;;02 28 05 75 40;;;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.4757961, -1.7641739;Loire-Atlantique
SAVONNERIE GONNORD;Cosmétique;;;18 Rue de la Caillère;;49300;;CHOLET;;49099;47.0574375;-0.8823141;;;02 41 58 53 71;;contact@savonnerie-gonnord.com;http://www.savonnerie-gonnord.com;;;;;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;;;;oui;;;||https://www.savonnerie-gonnord.com/||||02 41 58 53 71||contact@savonnerie-gonnord.com;oui;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.0574375, -0.8823141;Maine-et-Loire
Le temple de la fraise;Fruits / légumes;;;1bis rue du vieil Averton;;53700;;COURCITE;;53083;48.326071;-0.230494;;;;;;;;;;;Agriculture / horticulture / Pêche;;;non;;;;;Anglais,Français;;oui;non;oui;15-30 mins;15-30 mins;oui;oui;non;oui;oui;oui;Français,Anglais;non;;;;;;;oui;;Espèces;48.326071, -0.230494;Mayenne
Biscuiterie Bretonne;Bières,Biscuit,Brioche et viennoiserie,Epices / Condiment,Fruits / légumes,Fruits de mer,Pain / Pâtisserie,Produits apicoles,Produits cidricoles / Jus de fruit,Sel,Spiritueux,Vins;;;2 boulevard de l'Atlantique;;44510;;LE POULIGUEN;;44135;47.27727;-2.43849;;;02 40 42 95 12;;biscuiteriebretonnelaboutique@orange.fr;http://www.biscuiterie-bretonne-la-boutique.fr;;;;;Activités de la mer;;;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.27727, -2.43849;Loire-Atlantique
LES DELICES DU PLONGEON;Glace;;;2 Les Landes du Plongeon;;44810;;HERIC;;44073;47.4469963;-1.6896252;;06 29 68 51 39;;;lesdelicesduplongeon@gmail.com;;;;Facebook||https://www.facebook.com/menoretaurelie;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.4469963, -1.6896252;Loire-Atlantique
Les jardins de Nicolas;Fruits / légumes;;;2 Rue de Verdun;;72240;;NEUVILLALAIS;;72216;48.155658;-0.000483;;06 03 07 94 42;;;lesjardins_denicolas@outlook.fr;;;;Facebook||https://www.facebook.com/lesjardinsdenicolas72/;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;oui;||||||||||||||||||||||||||||||||||||||||17:00||19:00||||||||||||||||||||;;||https://www.local.bio/les-jardins-de-nicolas||||||;oui;oui;;;48.155658, -0.000483;Sarthe
Delphine Dugué - Atelier Matmae céramique;Céramique, faïence, émail;;;2 rue du Port au Vin;;49730;;MONTSOREAU;;49219;47.21622;0.059515;;;06 08 23 88 16;;delphine@matmae.fr;https://www.matmae.fr;;;Facebook||https://www.facebook.com/Delphine-DUGUE-C%C3%A9ramiste-111844443917227,Google+||https://goo.gl/maps/y733mJob1Y9JPoSY8,Instagram||https://www.instagram.com/matmaeceramique/?hl=fr;;Artisanat / Art;;;;;;;;Anglais,Français;;;;;;;;;;;;;;;;;01/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;non;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.21622, 0.059515;Maine-et-Loire
Les Vergers du Marais;Plantes et fleurs;;;2 Rue Piageau;;49730;;VARENNES-SUR-LOIRE;;49361;47.251402;0.012793;;;02 41 51 79 80;;;;;;;;Agriculture / horticulture / Pêche;;;;;;;;Français;;;;;;;;;;;;;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;non;;;47.251402, 0.012793;Maine-et-Loire
Confiserie Manuel;;;;2-4 Avenue du Général de Gaulle;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28195;-2.39212;;;02 40 60 20 66;;contact@niniche-manuel.com;https://www.niniche-manuel.com/;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.28195, -2.39212;Loire-Atlantique
LE CHAT BON THÉ;Biscuit,Café,Confiserie / chocolat,Confiture,Epices / Condiment,Produits du terroir (boutique),Sel;;;20 rue Aristide Briand;;44130;;BLAIN;;44015;47.4763609;-1.765034;;;02 28 03 32 38;;nathalie.navas@orange.fr;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.4763609, -1.765034;Loire-Atlantique
L'ATELIER MADELAINE;Bijou,Céramique, faïence, émail,Laine,Plantes et fleurs;;;21 Rue de Nantes;;44270;;MACHECOUL-SAINT-MEME;;44087;46.99173;-1.80947;;06 70 02 22 68;;;lateliermadelaine@gmail.com;;;;;;Loisirs et activités;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;46.99173, -1.80947;Loire-Atlantique
La Diablotine;Produits du terroir (boutique);;;21 rue Saint-Michel;Intra-muros;44350;;GUERANDE;;44069;47.32746;-2.42777;;;09 81 04 64 16;;contacts@diablotine.fr;https://www.diablotine.fr;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32746, -2.42777;Loire-Atlantique
Domaine Saint-Martin;Vins;;;22 rue des Grouas;TIGNE;49540;LYS-HAUT-LAYON;LYS-HAUT-LAYON;;49373;47.20636;-0.43302;;06 17 60 37 93;02 41 59 63 38;;contact@vins-thomas.fr;http://vins-thomas.fr/;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.20636, -0.43302;Maine-et-Loire
FERME DES PROUVERIES;Fromage et produit laitier;;;229 Lieu-dit Les Prouveries;;53540;;LAUBRIERES;;53128;47.95377;-1.06825;;06 29 87 75 80;;;floisa@orange.fr;https://tinyurl.com/les-prouveries;;;;;Agro-alimentaire;Bienvenue à la Ferme;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.95377, -1.06825;Mayenne
Daily Bike;Textile / Habillement / Chaussure;;;23 bis rue des Treilles;;44190;;CLISSON;;44043;47.1095272;-1.2453284;;;;;contact@daily-bike.com;https://www.daily-bike.com/;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1095272, -1.2453284;Loire-Atlantique
